"X","Y"
5.75,9.25
6.25,9.25
6.75,9.25
7.25,9.25
7.75,9.25
8.25,9.25
8.75,9.25
9.25,9.25
9.75,9.25
10.25,9.25
10.75,9.25
11.25,9.25
11.75,9.25
12.25,9.25
12.75,9.25
13.25,9.25
13.75,9.25
14.25,9.25
14.75,9.25
15.25,9.25
15.75,9.25
16.25,9.25
16.75,9.25
17.25,9.25
17.75,9.25
18.25,9.25
18.75,9.25
19.25,9.25
19.75,9.25
20.25,9.25
20.75,9.25
21.25,9.25
21.75,9.25
22.25,9.25
22.75,9.25
23.25,9.25
23.75,9.25
0.25,9.75
0.75,9.75
1.25,9.75
1.75,9.75
2.25,9.75
2.75,9.75
3.25,9.75
3.75,9.75
4.25,9.75
4.75,9.75
5.25,9.75
5.75,9.75
6.25,9.75
6.75,9.75
7.25,9.75
7.75,9.75
8.25,9.75
8.75,9.75
9.25,9.75
9.75,9.75
10.25,9.75
10.75,9.75
11.25,9.75
11.75,9.75
12.25,9.75
12.75,9.75
13.25,9.75
13.75,9.75
14.25,9.75
14.75,9.75
15.25,9.75
15.75,9.75
16.25,9.75
16.75,9.75
17.25,9.75
17.75,9.75
18.25,9.75
18.75,9.75
19.25,9.75
19.75,9.75
20.25,9.75
20.75,9.75
21.25,9.75
21.75,9.75
22.25,9.75
22.75,9.75
23.25,9.75
23.75,9.75
0.25,10.25
0.75,10.25
1.25,10.25
1.75,10.25
2.25,10.25
2.75,10.25
3.25,10.25
3.75,10.25
4.25,10.25
4.75,10.25
5.25,10.25
5.75,10.25
6.25,10.25
6.75,10.25
7.25,10.25
7.75,10.25
8.25,10.25
8.75,10.25
9.25,10.25
9.75,10.25
10.25,10.25
10.75,10.25
11.25,10.25
11.75,10.25
12.25,10.25
12.75,10.25
13.25,10.25
13.75,10.25
14.25,10.25
14.75,10.25
15.25,10.25
15.75,10.25
16.25,10.25
16.75,10.25
17.25,10.25
17.75,10.25
18.25,10.25
18.75,10.25
19.25,10.25
19.75,10.25
20.25,10.25
20.75,10.25
21.25,10.25
21.75,10.25
22.25,10.25
22.75,10.25
23.25,10.25
23.75,10.25
0.25,10.75
0.75,10.75
1.25,10.75
1.75,10.75
2.25,10.75
2.75,10.75
3.25,10.75
3.75,10.75
4.25,10.75
4.75,10.75
5.25,10.75
5.75,10.75
6.25,10.75
6.75,10.75
7.25,10.75
7.75,10.75
8.25,10.75
8.75,10.75
9.25,10.75
9.75,10.75
10.25,10.75
10.75,10.75
11.25,10.75
11.75,10.75
12.25,10.75
12.75,10.75
13.25,10.75
13.75,10.75
14.25,10.75
14.75,10.75
15.25,10.75
15.75,10.75
16.25,10.75
16.75,10.75
17.25,10.75
17.75,10.75
18.25,10.75
18.75,10.75
19.25,10.75
19.75,10.75
20.25,10.75
20.75,10.75
21.25,10.75
21.75,10.75
22.25,10.75
22.75,10.75
23.25,10.75
23.75,10.75
0.25,11.25
0.75,11.25
1.25,11.25
1.75,11.25
2.25,11.25
2.75,11.25
3.25,11.25
3.75,11.25
4.25,11.25
4.75,11.25
5.25,11.25
5.75,11.25
6.25,11.25
6.75,11.25
7.25,11.25
7.75,11.25
8.25,11.25
8.75,11.25
9.25,11.25
9.75,11.25
10.25,11.25
10.75,11.25
11.25,11.25
11.75,11.25
12.25,11.25
12.75,11.25
13.25,11.25
13.75,11.25
14.25,11.25
14.75,11.25
15.25,11.25
15.75,11.25
16.25,11.25
16.75,11.25
17.25,11.25
17.75,11.25
18.25,11.25
18.75,11.25
19.25,11.25
19.75,11.25
20.25,11.25
20.75,11.25
21.25,11.25
21.75,11.25
22.25,11.25
22.75,11.25
23.25,11.25
23.75,11.25
0.25,11.75
0.75,11.75
1.25,11.75
1.75,11.75
2.25,11.75
2.75,11.75
3.25,11.75
3.75,11.75
4.25,11.75
4.75,11.75
5.25,11.75
5.75,11.75
6.25,11.75
6.75,11.75
7.25,11.75
7.75,11.75
8.25,11.75
8.75,11.75
9.25,11.75
9.75,11.75
10.25,11.75
10.75,11.75
11.25,11.75
11.75,11.75
12.25,11.75
12.75,11.75
13.25,11.75
13.75,11.75
14.25,11.75
14.75,11.75
15.25,11.75
15.75,11.75
16.25,11.75
16.75,11.75
17.25,11.75
17.75,11.75
18.25,11.75
18.75,11.75
19.25,11.75
19.75,11.75
20.25,11.75
20.75,11.75
21.25,11.75
21.75,11.75
22.25,11.75
22.75,11.75
23.25,11.75
23.75,11.75
0.25,12.25
0.75,12.25
1.25,12.25
1.75,12.25
2.25,12.25
2.75,12.25
3.25,12.25
3.75,12.25
4.25,12.25
4.75,12.25
5.25,12.25
5.75,12.25
6.25,12.25
6.75,12.25
7.25,12.25
7.75,12.25
8.25,12.25
8.75,12.25
9.25,12.25
9.75,12.25
10.25,12.25
10.75,12.25
11.25,12.25
11.75,12.25
12.25,12.25
12.75,12.25
13.25,12.25
13.75,12.25
14.25,12.25
14.75,12.25
15.25,12.25
15.75,12.25
16.25,12.25
16.75,12.25
17.25,12.25
17.75,12.25
18.25,12.25
18.75,12.25
19.25,12.25
19.75,12.25
20.25,12.25
20.75,12.25
21.25,12.25
21.75,12.25
22.25,12.25
22.75,12.25
23.25,12.25
23.75,12.25
0.25,12.75
0.75,12.75
1.25,12.75
1.75,12.75
2.25,12.75
2.75,12.75
3.25,12.75
3.75,12.75
4.25,12.75
4.75,12.75
5.25,12.75
5.75,12.75
6.25,12.75
6.75,12.75
7.25,12.75
7.75,12.75
8.25,12.75
8.75,12.75
9.25,12.75
9.75,12.75
10.25,12.75
10.75,12.75
11.25,12.75
11.75,12.75
12.25,12.75
12.75,12.75
13.25,12.75
13.75,12.75
14.25,12.75
14.75,12.75
15.25,12.75
15.75,12.75
16.25,12.75
16.75,12.75
17.25,12.75
17.75,12.75
18.25,12.75
18.75,12.75
19.25,12.75
19.75,12.75
